C_MB,C_MB_integer,Delta0,Delta_min,L,Q_adiabatic,U,adiabatic_convergence_error,adiabatic_refinements,chern_checkpoint,chern_checkpoint_reused,chern_grid,delta0,index,maximum_abs_berry_flux,maximum_solver_residual,minimum_link_overlap,minimum_resta_modulus,polarization_points_used,refined,t
2.0000000000000004,2,3.0,0.23257735249282518,8,2.0000000000000004,-32.0,6.661338147750939e-16,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0000_U_neg32d000000_t_p0d500000_N20.npz,False,20,0.9,0,0.3126282056070457,1.348668910923331e-08,0.2920503358944433,0.23091614764604249,20,True,0.5
2.0000000000000004,2,3.0,0.3082708032234365,8,2.000000000000001,-24.0,1.1102230246251565e-15,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0001_U_neg24d000000_t_p0d500000_N20.npz,False,20,0.9,1,0.3115251324796211,7.2274170454843265e-09,0.3026104592429432,0.2330473793952865,20,True,0.5
2.0,2,3.0,0.4548629269718276,8,2.0,-16.0,0.0,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0002_U_neg16d000000_t_p0d500000_N20.npz,False,20,0.9,2,0.30863982454942657,1.3237641538041353e-09,0.32343395503100286,0.23880640434852016,20,True,0.5
2.0,2,3.0,0.5933254344706711,8,2.0000000000000004,-12.0,4.440892098500626e-16,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0003_U_neg12d000000_t_p0d500000_N20.npz,True,20,0.9,3,0.30507573865314214,5.778846563650754e-10,0.34352409650498633,0.246145651673728,20,True,0.5
2.0,2,3.0,0.8406887322276049,8,1.9999999999999998,-8.0,0.0,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0004_U_neg8d000000_t_p0d500000_N20.npz,True,20,0.9,4,0.2968477254772961,4.4019896199310777e-10,0.3804558102289593,0.2635517573640171,20,True,0.5
2.0,2,3.0,1.0462066622489772,8,2.0,-6.0,4.440892098500626e-16,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0005_U_neg6d000000_t_p0d500000_N20.npz,True,20,0.9,5,0.28824950607925043,5.748294363128032e-10,0.4124108559843656,0.2819436956716013,20,True,0.5
2.0,2,3.0,1.3454642443979417,8,1.9999999999999998,-4.0,0.0,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0006_U_neg4d000000_t_p0d500000_N20.npz,True,20,0.9,6,0.2725216237932797,2.7390408346054234e-10,0.46260195276193916,0.3152397565359356,20,True,0.5
2.0000000000000004,2,3.0,1.7314738111594483,8,2.000000000000001,-2.0,1.1102230246251565e-15,1,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern20/pair_0007_U_neg2d000000_t_p0d500000_N20.npz,True,20,0.9,7,0.24191548650273367,2.1769443541048283e-10,0.5464267053837195,0.37709047781088767,20,True,0.5
2.0000000000000004,2,3.0,1.9999999999999751,8,2.0,0.0,0.0,1,/public/home/student090/quantum-pump-l8/runs/l8-ut-20260728T195000/stage10/pair_0008_U_p0d000000_t_p0d500000_N10.npz,True,10,0.9,8,0.525462641414131,7.83281359683659e-11,0.37897801295552314,0.48453032794195294,20,False,0.5
2.0,2,3.0,1.7314738111594101,8,1.9999999999999998,2.0,0.0,1,/public/home/student090/quantum-pump-l8/runs/l8-ut-20260728T195000/stage10/pair_0009_U_p2d000000_t_p0d500000_N10.npz,True,10,0.9,9,0.40915824857671834,1.2525476292621655e-10,0.5200668305848172,0.628314170651109,20,False,0.5
2.0000000000000004,2,3.0,1.3454642443980793,8,2.0,4.0,4.440892098500626e-16,1,/public/home/student090/quantum-pump-l8/runs/l8-ut-20260728T195000/stage10/pair_0010_U_p4d000000_t_p0d500000_N10.npz,True,10,0.9,10,0.2795965538524516,5.891760966960833e-11,0.6190784508264693,0.6975500319452251,20,False,0.5
