Delta_center,Delta_min_line,E0,E1,U,U_offset,branch,critical_U,maximum_residual,path_id,phi_fraction,phi_over_pi,wall_time_s
0.0,0.646699782072,-6.805869910823452,-6.159170128751452,6.372348498,-1.0,simultaneous,7.372348498,1.1678136730718098e-11,center,0.25,0.5,0.4326746230944991
0.0,0.46957967349064855,-6.2909151702071116,-5.821335496716463,6.622348498,-0.75,simultaneous,7.372348498,1.1923404647179978e-11,center,0.25,0.5,0.08004333823919296
0.0,0.3006824809889741,-5.806238322850666,-5.505555841861692,6.872348498,-0.5,simultaneous,7.372348498,9.891940919725038e-12,center,0.25,0.5,0.07979297172278166
0.0,0.22021111301806062,-5.576002466585994,-5.355791353567933,6.997348498,-0.375,simultaneous,7.372348498,1.790929847899619e-11,center,0.25,0.5,0.08007052913308144
0.0,0.1429582118680015,-5.35429635130785,-5.211338139439849,7.122348498,-0.25,simultaneous,7.372348498,4.5830956010456675e-11,center,0.25,0.5,0.08023613225668669
0.0,0.0693928845893943,-5.141493634914024,-5.07210075032463,7.247348498,-0.125,simultaneous,7.372348498,7.988444296609534e-11,center,0.25,0.5,0.08002232294529676
0.0,0.034144612721741296,-5.038549526305603,-5.004404913583862,7.309848498,-0.0625,simultaneous,7.372348498,4.2493245766435457e-10,center,0.25,0.5,0.07960296608507633
0.0,7.79708209108776e-09,-4.937971980252433,-4.937971972455351,7.372348498,0.0,simultaneous,7.372348498,1.5728785161734366e-11,center,0.25,0.5,0.10461705084890127
0.0,0.032982060617558595,-4.872786883065473,-4.839804822447914,7.434848498,0.0625,simultaneous,7.372348498,6.366315160453715e-14,center,0.25,0.5,0.10216013994067907
0.0,0.06474537094203203,-4.808834021875373,-4.744088650933341,7.497348498,0.125,simultaneous,7.372348498,2.775283845339259e-10,center,0.25,0.5,0.07960688974708319
0.0,0.1244111772811829,-4.684559849027597,-4.560148671746414,7.622348498,0.25,simultaneous,7.372348498,6.478993118687789e-14,center,0.25,0.5,0.10666516236960888
0.0,0.17864585360700946,-4.565014515645483,-4.386368662038474,7.747348498,0.375,simultaneous,7.372348498,3.098290490395731e-14,center,0.25,0.5,0.0998782915994525
0.0,0.2272145450432843,-4.450056605727238,-4.222842060683954,7.872348498,0.5,simultaneous,7.372348498,4.2201856779231905e-14,center,0.25,0.5,0.09835581108927727
0.0,0.30714773687271757,-4.233313419241584,-3.926165682368867,8.122348498000001,0.75,simultaneous,7.372348498,3.40958418162504e-12,center,0.25,0.5,0.09841125272214413
0.0,0.3227156800933413,-4.033121820446652,-3.710406140353311,8.372348498000001,1.0,simultaneous,7.372348498,5.8662401178303425e-12,center,0.25,0.5,0.09848579112440348
1.5,0.600865687008378,-7.320039600312089,-6.719173913303711,3.352096694,-1.0,low,4.352096694,2.5242289404629856e-14,shift-1p5,0.75,1.5,0.4820569707080722
1.5,0.43980007524544273,-6.815256763663565,-6.375456688418122,3.602096694,-0.75,low,4.352096694,2.3190174786881603e-14,shift-1p5,0.75,1.5,0.10000450909137726
1.5,0.28446186886474845,-6.336871096795076,-6.052409227930328,3.852096694,-0.5,low,4.352096694,6.244718210490133e-14,shift-1p5,0.75,1.5,0.10015538427978754
1.5,0.20957182201597746,-6.10806589635647,-5.898494074340492,3.977096694,-0.375,low,4.352096694,2.334298367018793e-14,shift-1p5,0.75,1.5,0.09955498017370701
1.5,0.13695177903396072,-5.886507604264035,-5.7495558252300745,4.102096694,-0.25,low,4.352096694,3.9423732887953284e-14,shift-1p5,0.75,1.5,0.0996593302115798
