Delta0,Delta_center,Q_adiabatic_fixed_theta,U,efficiency_fixed_theta,maximum_abs_flux,maximum_residual,minimum_overlap,n_phi,path_id,phi_charge_error,phi_curve_max_error,refinement_count,theta_curve_error,theta_fraction,theta_width,wall_time_s
3.0,0.0,2.000706650558557,0.0,1.0003533252792784,0.003028503916046444,1.7289516161053368e-09,0.9848258398531224,80,center,0.00619076513287492,0.00619076513287492,2,5.7794134934563424e-05,1/256,0.02454369260617026,22.197265991941094
3.0,0.0,13.424352395378632,7.25,6.712176197689316,0.006243838775119402,4.946737158680155e-10,0.9394800986807239,640,center,0.00979184878319117,0.6758817666384509,5,0.001095906035136096,1/2048,0.0030679615757712823,234.98014350794256
3.0,0.0,-10.786053464879812,7.5,-5.393026732439906,0.005796685933145877,4.4586755691051564e-10,0.9368098685979698,640,center,0.006775409598132498,0.6453389088315955,5,0.0009722561066407565,1/2048,0.0030679615757712823,225.01590512506664
3.0,0.0,-0.0013154862287430462,16.0,-0.0006577431143715231,0.0003688464177240219,2.2214055706292159e-10,0.8781462102428418,40,center,2.1258703709386897e-05,0.0022026747197736434,1,2.413226702281321e-05,1/128,0.04908738521234052,13.6404131911695
3.0,1.5,2.017289330059438,0.0,1.008644665029719,0.011325422995544846,9.430340803921045e-10,0.9473195032194733,40,shift-1p5,0.0011220983018183084,0.02165250676077035,1,0.0002312522857901289,1/128,0.04908738521234052,7.9308764059096575
3.0,1.5,0.9760189622415895,7.25,0.48800948112079473,0.0043896754774474115,4.0658709395487604e-10,0.8695360584597576,40,shift-1p5,0.0019527216889004828,0.02145014640423537,1,0.00013015060166365888,1/128,0.04908738521234052,10.327295327559114
3.0,1.5,0.9932763206061935,7.5,0.49663816030309677,0.004473994418659249,5.547794277702847e-10,0.8712061004124584,40,shift-1p5,0.0021308616224542387,0.01847659040046179,1,0.00013329324355271233,1/128,0.04908738521234052,10.538421058095992
3.0,1.5,-0.0035537224532996006,16.0,-0.0017768612266498003,0.0008613776332108725,1.7671946269106127e-10,0.8752684771102613,40,shift-1p5,4.704440311066897e-05,0.005355177286742761,1,4.876312101011193e-05,1/128,0.04908738521234052,13.267631181515753
3.0,2.85,4.800732916229777,0.0,2.4003664581148887,0.0023825526711798214,3.467031121319974e-09,0.9864236491633182,320,near-tangent,0.006694261904019783,0.033782329282779244,4,9.749168594908042e-05,1/1024,0.006135923151542565,88.92106087412685
3.0,2.85,0.9993851541119583,7.25,0.49969257705597914,0.004632325603411175,1.5263835092194986e-09,0.8785328552866953,40,near-tangent,0.00023316350150515142,0.006821118445025587,1,0.00012667174050678964,1/128,0.04908738521234052,11.917814338579774
3.0,2.85,0.9999466210449613,7.5,0.4999733105224807,0.0046218660242577205,1.2209353563150081e-09,0.8787010638817561,40,near-tangent,0.00021169287243838486,0.006577301045033845,1,0.00012740162748053896,1/128,0.04908738521234052,11.233931158669293
3.0,2.85,-0.028368298510454592,16.0,-0.014184149255227296,0.0025108254552212664,2.1029094834696213e-10,0.8645882219311231,40,near-tangent,0.00027526957755282314,0.018801428922654115,1,9.319798192555795e-05,1/128,0.04908738521234052,13.348430561833084
3.0,3.6,-0.15326783893002105,0.0,-0.07663391946501052,0.008794969943048589,8.243397914643157e-10,0.9492373391508557,40,outside,0.011768642565132048,0.0543875381798513,1,0.00024271122815189283,1/128,0.04908738521234052,11.1684733601287
3.0,3.6,1.01068114214895,7.25,0.505340571074475,0.004680110751687289,1.607056667740877e-09,0.877265194050154,40,outside,0.00028122230546001603,0.00687061248577725,1,0.0001294695369560006,1/128,0.04908738521234052,12.36010761372745
3.0,3.6,1.0088093191733714,7.5,0.5044046595866857,0.004651580094357364,1.8388946490082947e-09,0.8776167807579857,40,outside,0.00022785597955632397,0.006671124387126359,1,0.00012868545749120108,1/128,0.04908738521234052,13.639029224403203
3.0,3.6,-0.1572354933956012,16.0,-0.0786177466978006,0.007317372993233752,2.5650749925409676e-10,0.8381680325661998,40,outside,0.0017878996587664953,0.06741098257350697,1,0.00018075599497241468,1/128,0.04908738521234052,15.678928411565721
